Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
03043 Biar,"45,3",3.606,30,"22,7","95,7","16,6","2,4",20.431,17.850,39.902,16.505,32.914,13.615,"2,2","26,7"
03044 Bigastro,"40,4",7.324,"22,8","15,3",81,"19,8","2,8",15.557,14.350,32.708,11.730,28.146,10.093,"2,4","28,6"
03045 Bolulla,"50,6",434,"27,9",30,"59,9","10,1","2,4",13.857,12.950,25.292,10.090,22.146,8.834,"2,9",34
03046 Busot,"46,3",3.499,"24,3","22,9","66,2","14,8","2,5",17.854,15.750,34.810,13.574,29.122,11.356,"2,8","33,4"
03047 Calp,"44,8",25.413,"30,7","23,2",48,"15,9","2,4",16.643,14.350,32.376,12.559,27.142,10.528,"3,1","34,2"
03048 Callosa d'en Sarrià,"42,8",7.702,"27,9","18,3","77,4","17,1","2,6",16.045,14.350,33.228,12.385,28.049,10.455,"2,7","31,3"
03049 Callosa de Segura,"39,9",19.326,"22,9","16,4","76,7","22,3","2,9",15.021,12.950,32.731,11.278,27.902,9.614,"2,6","31,4"
"03050 Campello, el","44,6",29.821,"33,8","21,1","79,8","16,3","2,4",20.135,17.150,40.006,16.602,32.275,13.394,"2,9","34,3"
"03051 Camp de Mirra, el/Campo de Mirra","45,8",442,"35,3","22,4","95,3","13,6","2,4",16.771,15.750,31.719,13.294,27.292,11.439,"2,4","27,8"
03052 Cañada,"44,6",1.210,27,"21,3","95,3","17,9","2,6",18.129,16.450,36.695,14.262,30.489,11.850,"2,4","27,3"
03053 Castalla,"43,5",11.311,"30,2","19,5","86,5","16,9","2,4",17.673,16.450,34.111,14.194,28.170,11.722,"2,3","27,7"
03054 Castell de Castells,"52,1",425,"46,5","34,1","79,8","9,7",2,17.057,15.050,27.749,13.533,23.763,11.589,"2,9","32,4"
03055 Catral,"42,5",9.207,"23,2","19,6","74,1",19,"2,7",14.999,13.650,30.354,11.158,26.394,9.702,"2,6","29,7"
03056 Cocentaina,"44,7",11.237,"28,9",22,"88,9","16,8","2,4",18.119,16.450,35.879,14.610,30.027,12.227,"2,6","30,7"
03057 Confrides,"50,9",304,"40,7","31,3","78,6","10,5","2,1",15.288,13.650,26.546,12.364,23.196,10.803,"3,3","32,3"
03058 Cox,"40,4",7.465,22,"15,4","83,2","20,6","2,8",15.915,13.650,34.401,12.145,29.232,10.320,"2,6","29,9"
03059 Crevillent,"41,4",29.773,"23,8","17,4","86,8","19,7","2,7",15.041,13.650,31.188,11.413,27.000,9.880,"2,6","30,4"
03060 Quatretondeta,"54,5",136,"49,3","41,2","92,7","7,4","1,9",15.755,15.050,23.181,12.482,20.981,11.297,"2,3","25,3"
03061 Daya Nueva,47,1.792,"32,1","26,2","72,7","14,7","2,3",16.008,15.050,28.927,12.049,25.039,10.429,"2,3","28,7"
03062 Daya Vieja,"53,7",672,"30,2",39,"38,7","8,3","2,1",17.843,15.750,29.458,13.270,25.185,11.345,"2,5","28,7"
03063 Dénia,"44,3",45.470,"31,7","20,5","73,4","15,7","2,5",17.998,15.750,36.636,14.460,30.164,11.906,"2,8","34,6"
03064 Dolores,"41,9",7.860,"26,5",18,"79,9","19,3","2,6",14.339,12.950,28.887,10.754,25.084,9.338,"2,7","30,4"
03065 Elx/Elche,"42,3",236.141,"25,7","18,1","87,8","18,3","2,6",16.924,15.050,35.285,13.193,29.648,11.085,"2,6","30,9"
03066 Elda,"44,4",52.598,"27,7","21,9","92,6","16,6","2,5",15.641,14.350,30.446,12.229,26.142,10.500,"2,7",31
03067 Fageca,"58,1",100,"30,6",38,97,1,2,23.549,21.350,42.393,20.554,35.574,17.248,"2,1","26,4"
03068 Famorca,"61,3",50,"51,6",52,92,2,"1,6",.,.,.,.,.,.,.,.
03069 Finestrat,"41,6",8.772,"31,5","15,5","52,3","18,9","2,5",18.109,15.050,34.226,13.493,28.131,11.090,3,"36,2"
03070 Formentera del Segura,"44,1",4.572,"33,5","21,7","59,6","16,9","2,4",13.410,12.250,24.440,9.910,21.430,8.689,"2,8","31,6"
03071 Gata de Gorgos,44,6.570,"25,2","20,8","74,9","15,9","2,7",16.645,14.700,34.895,12.827,29.201,10.734,"2,8",32
03072 Gaianes,"45,9",556,"31,5",25,"87,2","16,7","2,3",18.819,16.450,35.678,14.784,30.104,12.474,"2,2","28,6"
03073 Gorga,"49,1",288,"27,6","25,4","95,8","10,1","2,5",19.050,18.200,38.006,15.095,32.384,12.862,"2,2","24,5"
03074 Granja de Rocamora,"40,5",2.674,"20,1","15,8","81,1","20,3","2,8",15.599,14.350,33.164,11.583,28.708,10.026,"2,4","28,5"
"03075 Castell de Guadalest, el","47,7",268,"37,3","22,4","73,1","10,8","2,1",18.828,17.150,31.383,14.612,26.847,12.500,"2,6","31,8"
03076 Guardamar del Segura,"45,3",17.046,"33,3","23,3","64,5","16,2","2,3",16.883,15.050,32.108,13.338,26.827,11.144,3,"33,2"
"03077 Fondó de les Neus, el/Hondón de las Nieves",52,2.720,"30,1","35,2","61,7","10,8","2,2",16.261,15.050,27.771,12.571,23.701,10.729,"2,6",32
03078 Hondón de los Frailes,54,1.307,"29,7",38,"46,9","10,3","2,1",13.851,13.650,22.684,10.333,19.953,9.089,3,"33,3"
03079 Ibi,"43,6",23.882,"27,1","19,6",92,"16,7","2,5",19.079,17.150,38.534,15.405,31.185,12.467,"2,3","27,5"
03080 Jacarilla,"45,6",2.089,"28,5","22,8","79,7","15,1","2,5",16.128,15.050,31.464,12.432,26.699,10.549,"2,3","28,4"
03081 Xaló,"48,9",2.998,"29,4","30,8","61,1","14,2","2,4",16.637,14.350,30.762,12.493,26.278,10.672,"2,8","33,2"
03082 Xàbia/Jávea,"45,3",29.925,"30,7","23,7","53,4","16,1","2,5",17.879,14.350,36.179,13.914,29.336,11.283,"3,4","38,1"
03083 Xixona/Jijona,"45,2",6.954,"34,1","21,6","90,5","15,7","2,3",19.228,17.150,36.307,15.740,30.446,13.199,"2,4",29
"03084 Orxa, l'/Lorcha","51,4",588,"34,2","32,7","91,3","9,7","2,3",20.181,18.550,38.266,16.712,31.933,13.946,"2,3","28,3"
03085 Llíber,"52,4",1.008,"29,9",34,"36,2","10,5","2,4",17.179,15.050,31.536,12.682,26.490,10.653,"3,6","37,5"
03086 Millena,"51,3",256,"31,1","32,8","74,2","8,2","2,1",19.120,15.750,32.733,14.865,27.913,12.677,"2,3","29,9"
03088 Monforte del Cid,"40,3",8.800,27,"13,8","89,5","19,2","2,6",17.691,15.750,36.355,14.054,29.885,11.553,"2,2","29,1"
03089 Monòver/Monóvar,"44,6",12.426,"28,6","21,4",91,"16,7","2,4",15.371,14.350,28.945,11.812,25.118,10.250,"2,4","28,6"
03090 Mutxamel,"41,1",26.806,"23,7","15,4","88,3","19,2","2,7",20.583,17.850,44.756,16.274,36.143,13.142,"2,6","31,3"
03091 Murla,55,576,"33,7","40,3","47,7","9,6",2,16.544,14.350,26.498,12.963,22.369,10.943,"2,8","33,4"
03092 Muro de Alcoy,"42,5",9.198,"26,5","18,4","89,8","18,9","2,6",17.728,15.750,36.206,14.093,30.325,11.804,"2,3","28,7"
03093 Novelda,"43,3",25.651,"27,4","18,8","91,5","16,8","2,5",17.297,15.050,35.245,13.734,29.498,11.495,"2,5","29,1"
"03094 Nucia, la","42,3",18.823,24,"17,2","68,2","18,6","2,7",17.974,16.450,38.458,13.511,31.783,11.166,"2,6","31,1"
03095 Ondara,"42,5",7.290,"24,6","17,9","81,7","17,4","2,6",16.617,15.050,33.849,12.731,28.981,10.900,"2,6","29,3"
03096 Onil,"43,7",7.784,"29,3",20,"89,7","16,8","2,4",18.422,17.150,35.753,14.645,30.229,12.383,"2,2","26,1"
03097 Orba,"52,5",2.428,"29,5","37,2","52,4","12,6","2,3",16.295,15.050,29.626,12.407,25.126,10.523,"3,1","34,6"
03098 Orxeta,"46,9",866,"37,3","24,9","81,3","14,2","2,1",17.928,16.450,31.859,14.373,27.008,12.184,"2,4","28,9"
03099 Orihuela,"44,8",82.116,"30,6",23,"64,2","16,7","2,4",16.155,14.350,31.149,12.468,26.163,10.472,"2,7","33,5"
03100 Parcent,"51,6",1.018,"33,8","34,2","55,9","9,6","2,2",15.972,14.350,27.321,12.072,23.490,10.379,"2,9","33,5"
03101 Pedreguer,"45,1",8.491,"29,7","22,2","73,7","15,9","2,4",17.361,15.050,34.101,13.787,28.246,11.420,"2,7","31,4"
03102 Pego,47,10.484,"30,5","26,1","81,7","14,6","2,4",17.357,15.750,33.091,13.613,28.138,11.575,"2,5","28,8"
03103 Penàguila,"49,8",315,"38,6","27,9","90,8","10,8","2,2",19.826,18.550,35.637,16.262,30.199,13.780,"2,6","30,2"
03104 Petrer,43,33.888,"24,4","17,9","96,7","17,5","2,5",16.677,15.050,33.128,13.049,28.248,11.127,"2,3","27,5"
"03105 Pinós, el/Pinoso","44,2",8.193,"27,5",20,"81,2","16,9","2,5",15.020,13.650,28.903,11.429,24.972,9.875,"2,5","30,7"
03106 Planes,"52,2",704,"38,8","33,5","87,5","8,7","2,1",17.625,15.050,30.991,14.369,26.804,12.428,"2,2","28,8"
03107 Polop,"42,3",5.384,"31,1","16,5","69,8","18,6","2,4",16.267,15.050,30.667,12.402,26.146,10.574,"2,8","30,5"
03109 Rafal,"39,3",4.710,"24,8","13,9","81,5","21,2","2,9",14.496,13.650,31.465,10.806,26.521,9.108,"2,5","29,4"
"03110 Ràfol d'Almúnia, el",50,721,"26,2",33,"58,8","12,9","2,3",18.043,16.450,30.822,12.896,26.117,10.927,"2,5","28,5"
03111 Redován,"39,9",7.925,"23,7","14,4","85,5",20,"2,8",14.880,13.650,31.402,11.173,27.221,9.685,"2,3","27,7"
03112 Relleu,"51,4",1.225,"34,4","30,5","63,6","9,2","2,2",17.650,15.750,30.831,13.740,26.095,11.630,"3,3","33,8"
03113 Rojales,"53,2",17.222,"29,7","39,5","31,1","10,7","2,2",14.820,13.650,25.964,10.797,22.115,9.197,"3,2","35,5"
"03114 Romana, la",48,2.640,"28,9","27,8","74,3","13,8","2,4",14.624,13.650,26.620,10.944,23.315,9.585,"2,6","30,2"
03115 Sagra,"52,6",442,"29,4","35,5",64,"10,6","2,3",16.619,15.400,29.615,12.855,25.733,11.169,"2,3","27,8"
03116 Salinas,"45,6",1.737,"27,6","21,8","81,7","15,3","2,4",16.049,15.050,29.205,11.873,25.342,10.302,"2,1","25,9"
03117 Sanet y Negrals,"52,3",743,"34,4","35,5","64,3","10,8","2,2",16.112,15.750,27.470,12.132,23.640,10.441,"2,6","27,5"
03118 San Fulgencio,"55,5",9.596,"34,4","43,9","32,7","9,4","2,1",13.925,12.950,23.207,10.392,20.253,9.069,3,"34,4"
03119 Sant Joan d'Alacant,"42,3",24.485,"26,8","17,6","86,4","18,2","2,6",20.590,17.850,44.105,16.679,35.638,13.477,"2,9",33
03120 San Miguel de Salinas,"48,2",6.878,"29,1","28,8","44,5",15,"2,3",14.543,12.950,26.864,11.008,22.941,9.400,"3,5","36,2"
03121 Santa Pola,"43,6",37.518,"34,2","19,2","77,1","16,6","2,4",16.795,15.050,32.317,13.348,27.138,11.209,"2,7","32,6"
03122 Sant Vicent del Raspeig/San Vicente del Raspeig,"41,2",59.303,"23,1","15,9","92,5","18,5","2,7",18.704,17.150,40.023,14.614,33.034,12.062,"2,5","28,8"
03123 Sax,"43,1",10.095,"27,7","19,5","92,3","17,4","2,5",16.670,15.050,32.765,13.113,27.780,11.118,"2,3","27,2"
03124 Sella,49,610,"41,7","24,1","88,2","10,5","2,2",18.856,17.850,33.851,15.522,28.624,13.126,"2,4","26,6"
03125 Senija,45,656,"25,9","21,5","65,9","16,8","2,6",16.031,14.350,34.685,12.643,27.227,9.924,"2,8","32,9"
03127 Tàrbena,52,604,"41,7","31,3","63,4","8,4","2,1",15.428,15.050,24.874,11.065,21.809,9.701,"2,5","30,5"
03128 Teulada,48,12.322,"31,7","28,5","43,6","13,3","2,4",16.907,14.350,32.456,13.101,26.307,10.619,"3,2","37,5"
03129 Tibi,"47,4",1.829,35,24,86,"12,6","2,2",23.957,18.550,44.326,19.876,35.771,16.040,"2,2","28,4"
03130 Tollos,"55,1",39,"47,4","38,5","76,9",0,2,.,.,.,.,.,.,.,.
03131 Tormos,"53,5",340,"24,1","38,2","58,2","10,3","2,4",22.167,15.750,43.163,17.531,35.857,14.564,"2,6","31,4"
"03132 Torre de les Maçanes, la/Torremanzanas","49,9",730,"39,5",28,"83,3","9,7","2,2",17.849,15.750,32.074,14.266,27.461,12.214,"2,7","31,3"
03133 Torrevieja,"44,5",89.146,36,"22,6","55,4","16,6","2,3",13.841,12.250,25.553,10.691,21.976,9.194,"3,4","36,4"
"03134 Vall d'Alcalà, la","54,2",176,"52,6","33,5","89,2",8,"1,9",18.000,14.350,28.492,15.228,24.314,12.995,"3,1","36,4"
"03135 Vall d'Ebo, la","55,4",230,"43,1","35,7","85,2","4,4","2,1",19.050,19.250,34.975,16.216,29.897,13.861,"2,9","31,1"
"03136 Vall de Gallinera, la","51,9",584,"40,4","31,2",80,"10,6","2,1",16.937,14.350,28.597,13.502,24.839,11.727,"2,4","30,6"
"03137 Vall de Laguar, la","49,5",774,"35,5","30,6","84,2","12,9","2,3",16.167,15.050,29.293,12.904,25.064,11.041,"2,5","31,3"
"03138 Verger, el","44,6",5.024,"31,9","21,9",77,"15,7","2,4",16.325,15.050,31.588,12.680,27.058,10.861,"2,6","29,7"
"03139 Vila Joiosa, la/Villajoyosa","43,1",35.769,"32,7","18,6",78,"16,9","2,4",17.289,15.750,33.619,13.772,28.520,11.683,"2,5","30,6"
03140 Villena,43,33.620,"26,5","19,3",92,"17,8","2,5",16.853,15.050,33.832,13.261,28.820,11.296,"2,4","28,3"
"03901 Poblets, els","52,8",2.794,"34,5","36,9","50,9","11,1","2,1",18.412,17.150,31.727,14.373,26.598,12.050,"2,7","32,4"
03902 Pilar de la Horadada,"43,6",23.180,"30,1","21,9","59,9","17,8","2,5",16.077,14.350,32.247,12.222,27.234,10.322,"2,7","32,1"
"03903 Montesinos, Los","44,6",5.466,"26,3",23,"61,4","16,9","2,5",15.305,14.350,29.081,11.503,24.925,9.859,"2,6",31
03904 San Isidro,"38,9",2.247,"28,6","12,8","83,6","20,6","2,6",15.140,14.350,30.139,11.553,26.041,9.982,"2,4","27,7"
04001 Abla,"48,9",1.259,"37,3","28,9","89,6","12,3","2,2",16.511,15.050,29.187,13.305,25.522,11.635,"2,3","29,7"
04002 Abrucena,"48,7",1.274,"43,3","28,4","89,3","11,5",2,15.129,13.650,24.962,12.361,22.066,10.927,"2,3","29,8"
04003 Adra,"40,5",25.055,"24,6","15,5","85,6",19,"2,7",14.206,12.950,29.311,10.650,25.639,9.316,"2,4",29
04004 Albanchez,"55,1",669,"40,2","40,8","64,9","9,3","1,9",14.958,13.650,23.885,11.885,21.030,10.464,"2,6","31,3"
04005 Alboloduy,"50,7",600,"41,3",32,"94,3","12,5","2,1",15.436,14.350,26.187,12.457,23.237,11.054,"2,2","26,3"
04006 Albox,"42,9",12.210,"27,4","20,6","71,1",18,"2,7",15.267,13.650,31.924,11.545,26.991,9.761,"2,9","33,7"
04007 Alcolea,"48,2",805,"46,2","24,7","96,3","11,2","1,9",13.757,12.250,21.823,11.311,19.494,10.103,2,26
04008 Alcóntar,"52,6",565,"44,1","35,2","89,6","9,7","2,2",17.009,14.350,32.627,14.259,27.653,12.085,"2,8","32,4"
04009 Alcudia de Monteagud,"54,6",131,"54,3","32,8","90,8","3,8","1,9",20.277,19.250,32.748,17.553,27.826,14.915,"2,2","23,6"
04010 Alhabia,"44,3",714,"37,3","20,2",94,"14,7","2,1",13.677,12.950,23.108,10.894,20.668,9.744,"2,1",28
04011 Alhama de Almería,"42,3",3.801,"28,7","19,1","88,6",18,"2,5",14.919,13.650,28.390,11.416,24.886,10.007,"2,4","28,9"
04012 Alicún,"48,3",221,"42,5","27,2","94,6","10,4","2,1",16.858,14.350,29.293,13.975,24.911,11.884,"3,2","34,2"
04013 Almería,"41,5",198.832,"29,1","17,5",89,"19,1","2,6",18.810,15.750,39.772,15.092,32.883,12.478,"3,1","34,1"
04014 Almócita,"48,9",209,"47,1","21,5","90,9","10,5",2,16.666,14.000,28.351,14.037,24.241,12.002,"3,3","33,5"
04015 Alsodux,"53,4",147,"42,1","26,5","95,2","3,4","1,9",19.163,17.150,31.743,16.209,27.047,13.811,"2,4",28
04016 Antas,"42,9",3.406,29,"18,8","77,5","17,4","2,6",15.936,14.350,32.070,12.204,27.466,10.452,"2,4","28,3"
04017 Arboleas,"56,6",4.435,"23,6","43,2","32,3","7,2","2,2",13.978,12.950,22.508,10.016,19.744,8.786,3,"34,3"
04018 Armuña de Almanzora,"49,6",336,"39,9","27,1","91,1","8,9","2,1",18.106,15.750,31.160,14.923,26.868,12.868,"2,3","30,8"
04019 Bacares,"55,3",203,"50,9","37,9","99,5","4,4","1,8",17.122,15.050,26.177,14.903,23.026,13.109,"2,2","25,5"
04020 Bayárcal,"46,7",332,"42,8","25,9","91,6","13,6","2,2",14.485,13.650,25.173,11.606,22.305,10.284,"2,8",32
04021 Bayarque,51,221,"51,3","32,1","88,2","9,5","1,9",17.007,14.350,28.726,15.034,24.362,12.750,"2,4","29,3"
04022 Bédar,"56,8",1.018,"37,4","41,5","41,5","6,3","1,9",14.424,13.650,22.730,11.227,19.813,9.786,3,"35,1"
04023 Beires,"56,7",146,"49,4",37,98,"4,8","1,9",17.333,15.050,27.598,14.846,24.339,13.093,"2,2","27,7"
04024 Benahadux,"38,1",4.650,"20,7","13,1","93,3","23,9","2,8",15.880,14.350,33.174,11.840,28.501,10.172,"2,3","26,5"
04026 Benitagla,"56,5",59,60,"37,3","96,6","5,1","1,7",.,.,.,.,.,.,.,.
04027 Benizalón,"53,1",251,"54,1","33,1","87,3","7,2","1,7",15.616,14.350,23.728,13.629,20.790,11.942,"2,1","28,5"
04028 Bentarique,"51,2",242,"43,6",36,"97,1","12,8","1,9",14.211,12.950,22.889,11.682,20.538,10.482,"2,3","27,1"
04029 Berja,"40,4",12.691,"25,4","15,3","85,4",19,"2,7",13.965,12.950,28.384,10.440,24.977,9.187,"2,3","29,1"
04030 Canjáyar,"52,3",1.130,"44,7","33,4","95,5","9,4","1,9",14.384,12.950,23.047,11.677,20.730,10.503,"2,4","29,2"
04031 Cantoria,"49,5",3.581,"31,7",30,71,"12,3","2,3",15.168,13.650,27.633,11.552,24.003,10.034,"2,7","31,5"
04032 Carboneras,"41,3",8.361,"29,1","16,9","85,6","18,7","2,5",17.444,15.750,35.098,13.651,29.551,11.494,"2,6",31
04033 Castro de Filabres,"57,5",109,"57,4","37,6","96,3","2,8","1,8",18.356,19.250,29.379,16.322,25.396,14.109,"2,4","22,2"
04034 Cóbdar,51,207,"43,2","32,9","93,7","8,2","2,2",18.050,15.750,33.183,14.413,28.653,12.445,"2,6","32,3"
04035 Cuevas del Almanzora,"39,8",14.791,"29,1","16,5","72,8","21,6","2,6",14.920,13.650,30.136,11.243,26.103,9.738,"2,5","29,8"
04036 Chercos,"48,4",311,"34,3","28,3","89,1",10,"2,3",14.406,13.650,26.115,11.426,23.132,10.120,"2,2","26,2"
04037 Chirivel,"50,5",1.528,"45,4","31,2",88,"11,9",2,15.359,13.650,25.153,12.199,22.049,10.694,"2,7","30,5"
04038 Dalías,"42,1",4.186,"27,4","19,1","91,3","18,9","2,6",14.973,13.650,29.236,11.335,25.467,9.873,"2,5","28,5"
04039 Darrical,,,,,,,,,,,,,,,
04041 Enix,"46,2",592,"47,5","22,1","84,5",12,2,16.021,14.350,27.380,13.466,23.332,11.475,"2,4","29,3"
04043 Felix,"46,8",765,"45,2",20,"89,3","12,2",2,16.278,14.350,28.988,14.002,24.516,11.842,"2,6","32,1"
04044 Fines,"41,3",2.228,"28,7","15,5","83,7","17,3","2,6",15.919,14.350,31.472,12.174,27.111,10.487,"2,3","28,6"
04045 Fiñana,47,2.021,"36,8","24,9","92,8","13,2","2,2",14.564,13.650,24.992,11.515,22.376,10.310,"2,2","27,2"
04046 Fondón,"49,6",1.094,"43,5","25,1","95,1","10,1",2,15.799,14.350,26.539,13.417,23.029,11.642,"2,6","29,8"
04047 Gádor,41,3.034,"38,8","17,3","89,1","19,3","2,2",13.813,12.250,24.853,11.024,21.686,9.619,"2,9","32,4"
"04048 Gallardos, Los","46,1",2.737,"29,5",27,"67,6","15,5","2,4",15.701,14.350,28.920,11.784,25.119,10.235,"2,4","30,2"
04049 Garrucha,"39,5",10.210,29,"14,1","72,3",20,"2,7",14.662,12.950,30.507,11.185,26.213,9.611,"2,7","31,6"
04050 Gérgal,"43,3",1.192,"41,3","19,8","72,2","16,6","2,3",13.852,11.550,25.033,10.872,22.238,9.658,3,"33,7"
04051 Huécija,"46,1",532,"44,7","21,8","94,7","14,5",2,15.207,13.650,25.671,12.637,22.157,10.907,"2,3","28,5"
04052 Huércal de Almería,"36,3",18.539,"20,2","7,6","96,6","24,6","2,8",17.929,16.450,38.955,13.647,32.725,11.464,"2,2","27,1"
04053 Huércal-Overa,"41,5",20.059,"24,5","17,8","78,6","19,3","2,8",16.672,15.050,35.387,12.599,30.106,10.719,"2,7","31,1"
04054 Íllar,"49,2",451,"48,1","25,9","87,4","9,5","1,9",14.579,12.950,23.152,11.816,20.546,10.486,"2,5","30,3"
04055 Instinción,"47,2",476,"45,8","25,6","91,6","14,7",2,13.261,12.950,20.928,10.556,18.820,9.492,"2,2","28,1"
04056 Laroya,"46,8",197,"46,4","22,8","89,3","8,6",2,15.413,14.350,26.597,12.950,23.369,11.379,"2,8","31,7"
04057 Láujar de Andarax,"45,8",1.615,"38,9","24,2","94,2","16,2","2,1",13.167,11.550,22.360,10.628,19.712,9.369,"2,4","28,8"
04058 Líjar,"52,5",391,"34,7",34,"90,8","8,7","2,3",15.922,15.050,28.735,12.336,25.753,11.056,"2,1","25,4"
04059 Lubrín,"53,1",1.422,"41,3","37,9","72,4","10,6",2,14.985,13.650,24.041,11.756,21.461,10.494,"2,3","30,1"
04060 Lucainena de las Torres,"46,5",679,"40,5","24,2","81,4","13,8","2,3",14.683,13.650,27.140,11.448,23.102,9.745,"2,5","29,8"
04061 Lúcar,"46,9",832,43,"26,2","88,9","13,3",2,16.285,15.050,26.516,13.009,23.106,11.336,"2,4","28,1"
04062 Macael,"43,6",5.404,"28,8","19,4","94,6","16,3","2,5",16.709,15.050,32.736,13.200,27.560,11.113,"2,3","27,4"
04063 María,"50,4",1.212,"36,4","30,7","91,7","10,1","2,2",15.612,14.350,27.546,12.435,24.381,11.006,"2,2",29
04064 Mojácar,"49,4",7.301,"39,2","29,6","51,3","12,5","2,2",16.926,14.350,30.650,13.424,25.506,11.171,"3,3","36,7"
04065 Nacimiento,"47,1",496,"52,1","24,6","75,8","11,1",2,14.640,13.650,25.042,11.937,22.166,10.566,"2,6","31,9"
04066 Níjar,"36,4",31.401,"31,1","10,6","54,7",23,"2,9",12.813,11.550,27.834,9.270,24.461,8.147,"2,3","29,9"
04067 Ohanes,"54,3",551,59,"34,7","97,6","6,2","1,6",14.060,12.950,19.766,12.634,17.440,11.148,"2,5","30,2"
04068 Olula de Castro,"54,7",195,"44,2","32,3","90,3","2,1",2,20.139,19.250,34.864,16.881,29.832,14.445,"2,3","23,2"
04069 Olula del Río,"42,1",6.353,"26,6",17,"90,3","17,5","2,5",16.409,15.050,33.100,12.947,27.976,10.942,"2,3","28,9"
04070 Oria,"52,2",2.196,"36,4","34,2","73,5","9,9","2,1",14.303,12.950,23.704,10.856,20.937,9.589,"2,4","31,7"
04071 Padules,"53,1",437,"47,9","35,7","93,1","8,7","1,8",16.868,14.350,26.977,14.623,23.364,12.664,"2,3","31,2"
04072 Partaloa,"58,4",936,"32,4","44,2","35,7","5,3","2,1",14.228,13.650,22.660,10.129,19.764,8.834,"4,1","35,5"
04073 Paterna del Río,"51,2",386,"59,9","27,2","96,6","8,8","1,7",13.846,12.250,20.513,12.243,18.051,10.774,"2,5","29,8"
04074 Pechina,"38,9",4.419,"23,6","13,5","88,4",22,"2,8",14.920,13.650,31.101,11.221,27.002,9.741,"2,6","30,5"
04075 Pulpí,"39,6",10.156,"26,8","14,1","71,6","19,5","2,9",16.944,15.050,39.357,12.764,31.448,10.199,2,"25,2"
04076 Purchena,"45,7",1.465,"36,9","22,9","90,1","14,5","2,2",16.120,15.050,28.401,13.068,24.443,11.247,"2,3","28,3"
04077 Rágol,"52,3",302,"45,9","36,4","95,4","7,6","1,9",15.244,13.650,25.003,12.964,22.184,11.503,"2,3","26,4"
04078 Rioja,"40,4",1.546,"26,9",15,"92,9",20,"2,6",14.155,13.650,28.855,10.667,25.271,9.342,"2,4","27,8"
04079 Roquetas de Mar,"37,8",104.649,"27,5","10,6","70,8","21,1","2,7",16.216,13.650,35.036,12.631,29.293,10.561,"2,8",34
04080 Santa Cruz de Marchena,"53,2",242,"53,8","31,4","92,6","5,8","1,8",15.973,14.350,25.127,13.514,21.497,11.562,"2,4","29,2"
04081 Santa Fe de Mondújar,44,490,"39,8","21,2","87,6","15,3","2,3",13.170,12.250,24.913,10.677,22.008,9.432,"2,6","32,4"
04082 Senés,"54,9",290,"50,3","31,4","92,4","2,4","1,8",18.303,16.450,28.670,15.950,24.582,13.676,"3,1",31
04083 Serón,"48,9",2.101,"43,4","27,8",92,"12,1","2,1",17.339,15.750,30.440,14.270,26.096,12.234,"2,3","29,4"
04084 Sierro,"50,3",381,"43,7","26,8","94,2","8,4","1,9",15.823,15.050,26.283,13.531,22.831,11.754,2,25
04085 Somontín,"48,7",526,"34,1","26,1","89,2","10,1","2,4",16.969,15.400,32.441,13.209,27.638,11.254,"2,4","28,9"
04086 Sorbas,47,2.447,"34,2","27,5","77,9","15,1","2,4",14.770,13.650,27.369,11.173,23.983,9.790,"2,7","30,4"
04087 Suflí,"48,9",229,"42,6","21,8",79,"6,6",2,17.027,15.050,29.130,14.565,24.863,12.431,"3,2","36,3"
04088 Tabernas,43,3.972,35,"19,4","75,2",16,"2,4",14.477,12.950,26.823,11.149,23.550,9.788,"2,4","28,4"
04089 Taberno,48,963,"35,9","29,7","80,2","15,8","2,3",14.260,13.650,24.437,10.533,21.702,9.355,"2,6","30,5"
04090 Tahal,"51,8",366,"48,8","31,7","85,3","7,7","2,1",18.645,17.150,33.879,15.159,29.166,13.050,"2,8",32
04091 Terque,"49,7",400,"45,6","27,3",83,10,2,15.479,12.250,25.508,12.819,22.517,11.316,"2,7",34
04092 Tíjola,"43,4",3.438,"34,5","19,4","92,8","15,9","2,3",16.782,15.050,31.876,13.538,27.108,11.513,"2,4","29,8"
04093 Turre,"46,4",4.171,"35,5","26,4","57,6",16,"2,3",13.369,12.250,24.069,10.035,20.914,8.719,"2,8","33,3"
04094 Turrillas,"49,9",278,"43,2",27,"88,5","9,7",2,16.405,15.750,27.612,13.806,23.908,11.954,"2,1",27
04095 Uleila del Campo,"49,3",833,"36,4","29,9","89,6","11,5","2,3",14.260,13.650,24.668,10.736,22.167,9.647,"2,1","26,7"
04096 Urrácal,"49,6",381,"39,1","28,6","81,9","8,9","2,2",17.906,16.450,31.239,14.151,26.573,12.037,"2,5","27,9"
04097 Velefique,"57,5",259,"49,6","42,9","97,3","3,5","1,9",18.897,17.850,31.003,16.044,26.984,13.965,"2,9","30,2"
04098 Vélez-Blanco,"49,6",1.932,"42,6","28,4","83,6","10,4",2,15.650,14.350,26.322,12.700,22.922,11.060,"2,4",30
