Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
02079 Villamalea,"45,1",3.919,"26,3","21,7","82,1","15,2","2,5",15.670,14.350,30.258,11.883,26.449,10.387,"2,2","26,9"
02080 Villapalacios,"51,3",556,"36,8","29,9","92,1","8,5","2,2",17.893,15.050,33.096,14.676,28.722,12.736,"2,7","30,6"
02081 Villarrobledo,"42,2",24.915,"25,3","17,8","87,8","18,2","2,7",16.905,15.750,35.544,12.959,30.331,11.058,"2,2","27,5"
02082 Villatoya,"52,4",114,"55,4",29,93,"6,1","1,8",15.975,15.750,24.119,13.660,21.037,11.915,"3,2","35,4"
02083 Villavaliente,"55,7",209,"48,6","38,8","93,3","5,7","1,9",17.126,15.750,27.771,14.420,24.695,12.823,"2,3",28
02084 Villaverde de Guadalimar,"52,9",311,"51,5","30,2","98,1","8,7","1,8",13.823,12.250,20.844,11.339,18.773,10.212,"1,9","27,6"
02085 Viveros,"55,1",308,"46,2","35,4","96,8","7,1",2,17.493,15.750,28.568,14.377,25.090,12.627,"2,6","29,2"
02086 Yeste,"53,9",2.474,43,"36,2","98,5","9,4",2,14.841,13.650,24.528,11.783,22.164,10.647,"2,3","27,8"
02901 Pozo Cañada,"43,7",2.713,"26,4","20,9","96,6",18,"2,6",16.067,14.350,32.245,12.178,28.015,10.581,"2,1",25
"03001 Atzúbia, l'","53,2",625,"32,6","32,6","55,2","8,5","2,2",18.644,17.850,31.949,13.846,26.571,11.515,"3,3",35
03002 Agost,"44,3",5.034,"27,6","20,3",91,"16,7","2,5",16.330,15.050,32.257,12.560,23.392,9.108,"2,3","27,9"
03003 Agres,47,619,38,"24,2","87,7","13,6","2,2",19.323,17.850,34.937,15.639,29.696,13.293,"2,5","27,1"
03004 Aigües,"45,2",1.144,"34,1","20,9","71,9","15,7","2,3",18.959,17.150,35.548,15.174,29.189,12.459,"2,9",34
03005 Albatera,"39,7",13.072,"23,7","15,4",78,"21,1","2,8",14.991,13.650,31.394,11.157,27.250,9.685,"2,6","28,8"
03006 Alcalalí,"54,6",1.392,"32,9","39,5","42,2","8,7","2,1",16.547,14.350,27.437,12.588,23.550,10.804,"2,7","33,8"
03007 Alcosser,"47,3",260,"30,7","19,6","86,5","10,8","2,3",22.933,19.250,44.727,19.423,36.272,15.752,"2,1","32,8"
03008 Alcoleja,"51,7",192,"36,1","33,9","94,8",12,"2,2",18.433,18.550,30.453,13.753,26.891,12.144,"2,4","24,6"
03009 Alcoi/Alcoy,"44,4",58.953,"31,9","21,4","91,2","16,1","2,4",18.496,16.450,35.803,15.018,29.985,12.577,"2,5","29,4"
03010 Alfafara,"48,1",419,"34,6","25,1","94,3","12,4","2,3",18.888,17.150,35.709,15.152,30.521,12.950,"2,2","26,9"
"03011 Alfàs del Pi, l'","47,2",20.281,"29,4","26,6","49,5","14,4","2,5",16.957,15.050,34.186,12.834,28.392,10.659,"3,3","35,4"
03012 Algorfa,51,3.684,"28,2","34,2","40,1","12,7","2,2",14.646,13.650,24.685,10.707,21.404,9.284,"2,8","32,4"
03013 Algueña,"46,5",1.386,"28,8","25,8","89,4","16,8","2,4",15.049,14.350,28.354,11.569,24.922,10.169,"2,7","29,7"
03014 Alacant/Alicante,"43,2",346.780,"30,5","19,5","82,4","17,1","2,5",19.186,16.450,39.961,15.698,32.439,12.743,"3,4","35,9"
03015 Almoradí,"39,6",21.607,"25,1","15,1","75,2","21,9","2,8",14.450,12.950,30.395,10.948,26.030,9.376,"3,1","32,7"
03016 Almudaina,"54,5",111,"45,5","39,6","84,7","6,3",2,19.090,17.850,33.941,16.162,29.497,14.046,"2,5",29
"03017 Alqueria d'Asnar, l'","42,5",509,"22,9","14,2","94,3","14,2","2,5",19.247,19.250,38.230,15.033,32.324,12.710,2,"24,5"
03018 Altea,"45,3",23.722,"30,6","21,9","62,8","15,1","2,5",17.894,15.050,35.633,13.895,29.385,11.459,"2,8","34,1"
03019 Aspe,"41,7",21.370,"25,7","17,6","92,2","19,5","2,6",15.955,14.350,32.198,12.230,27.589,10.479,"2,3","28,7"
03020 Balones,"54,1",121,"46,8","34,7",86,"6,6","1,9",18.972,17.150,31.203,15.861,26.732,13.589,"2,4","27,8"
03021 Banyeres de Mariola,"43,8",7.199,"28,5","21,1",92,"17,3","2,5",19.953,17.150,41.121,16.098,33.154,12.979,"2,1","26,8"
03022 Benasau,54,173,"30,8","38,2",96,11,"2,2",22.931,19.250,42.579,19.198,35.724,16.107,2,"28,7"
03023 Beneixama,"46,6",1.704,32,"25,1","93,2","15,6","2,4",19.566,17.850,38.192,15.679,32.136,13.192,"2,4","27,4"
03024 Benejúzar,"42,3",5.547,"23,4","18,3","85,3",18,"2,8",15.258,13.650,31.802,11.349,27.628,9.859,"2,4",29
03025 Benferri,"41,8",2.016,"26,7","17,6","86,3",20,"2,6",16.278,15.050,33.056,12.469,28.211,10.642,"2,3","26,9"
03026 Beniarbeig,"43,8",2.353,"28,3","21,2","76,6","17,4","2,5",17.783,15.750,34.450,13.805,28.843,11.557,"2,4","29,5"
03027 Beniardà,"50,1",254,"30,2","30,3","84,7","11,8","2,4",18.541,18.550,36.310,14.994,30.755,12.700,"3,3","31,6"
03028 Beniarrés,"51,5",1.089,"35,1","29,1","93,8","8,4","2,2",16.809,15.750,29.559,13.278,25.992,11.676,2,"24,4"
03029 Benigembla,"54,9",548,"37,2","38,5",52,"9,1","2,1",16.276,14.350,29.754,13.224,24.916,11.074,"3,7","36,6"
03030 Benidoleig,"51,7",1.222,"32,7","32,4","55,9","9,9","2,2",18.102,15.750,32.581,14.216,26.866,11.722,"2,8","34,6"
03031 Benidorm,"44,9",70.525,"38,9","22,3","69,8","14,7","2,3",16.522,14.350,31.174,13.382,26.437,11.349,"2,8","32,5"
03032 Benifallim,"52,3",112,"47,5","26,8",100,"7,1","1,9",26.231,26.250,45.571,23.812,36.611,19.130,"2,5","25,8"
03033 Benifato,52,140,"43,1","27,9","84,3","7,9","1,9",18.061,15.750,29.034,14.628,25.712,12.954,"2,4","28,9"
03034 Benijófar,"50,2",3.538,"26,1","32,5","48,4","12,4","2,3",16.195,15.050,28.859,11.860,24.352,10.008,"2,7","31,3"
03035 Benilloba,"51,4",738,"30,5","33,2","93,6",10,"2,2",18.567,16.450,33.198,15.015,28.661,12.963,"2,4","27,4"
03036 Benillup,"45,6",108,"26,2","20,4","98,2","17,6","2,6",20.987,18.550,44.360,17.158,37.044,14.328,"2,2","25,6"
03037 Benimantell,"47,3",525,"41,2","25,9","78,3","14,1","2,2",15.978,15.750,28.489,12.781,24.640,11.054,"2,4","29,2"
03038 Benimarfull,"51,6",427,34,"32,1","91,8","8,9","2,1",22.635,17.850,44.299,20.637,35.681,16.622,2,"25,9"
03039 Benimassot,"53,1",105,"43,4","32,4","94,3","2,9",2,20.790,16.450,37.341,18.297,28.753,14.089,"2,7","32,7"
03040 Benimeli,"50,3",421,22,"31,4","74,6","15,2","2,4",16.499,15.050,30.823,12.741,26.747,11.056,"2,6","32,4"
03041 Benissa,"46,8",12.253,"30,4",26,"60,9",15,"2,4",17.692,15.750,34.353,13.555,28.464,11.232,"2,8","34,4"
"03042 Poble Nou de Benitatxell, el/Benitachell","49,3",4.926,"30,3","32,1","37,6","14,1","2,3",16.693,15.050,29.445,12.476,24.479,10.372,"3,3","36,6"
